"null","Sourced","Placed","References","Value","Footprint","Quantity"
1,"","","C7, C12, C13","1nF","C_0402_1005Metric",3
2,"","","C3, C5","100 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",2
3,"","","C10, C11","47pF","C_0402_1005Metric",2
4,"","","C15, C16","3.3pF","C_0402_1005Metric",2
5,"","","C17, C18","22u","C_0805_2012Metric",2
6,"","","C1","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",1
7,"","","C2","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",1
8,"","","C4","10 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",1
9,"","","C6","4.7 nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",1
10,"","","C8","100nF","C_0402_1005Metric",1
11,"","","C9","470nF","C_0402_1005Metric",1
12,"","","C14","39pF","C_0402_1005Metric",1
13,"","","C19","1uF","C_0402_1005Metric",1
14,"","","R1, R2","1.8k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2
15,"","","R5, R6","5k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2
16,"","","R7, R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2
17,"","","R9, R11",100,"R_0402_1005Metric",2
18,"","","R3",220,"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",1
19,"","","R4","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",1
20,"","","R10",300,"R_0402_1005Metric",1
21,"","","L1","15uH","L_0402_1005Metric",1
22,"","","L2","47nH","L_0402_1005Metric",1
23,"","","L3","9.1nH","L_0402_1005Metric",1
24,"","","D1, D2","1N4148WT","D_SOD-523",2
25,"","","D3","LED","LED_0402_1005Metric",1
26,"","","U1","PE4259","PE4259",1
27,"","","U2","ATSAMD21G18A-A","TQFP-48_7x7mm_P0.5mm",1
28,"","","U3","ECS-327TXO-2012","OSC_ECS-327TXO-2012-33-TR",1
29,"","","U4","SX1262IMLTRT","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",1
30,"","","U5","AMS1117-3.3","SOT-223-3_TabPin2",1
31,"","","U6","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",1
32,"","","Y1","FA-128_32.0000MF20X-K5","OSCCC200X160X50",1
33,"","","SW1","RST","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",1
34,"","","FL1","0900FM15K0039","Balun_Johanson_0900FM15K0039",1
35,"","","Je2","Conn_Coaxial","RFSOLUTIONS_CON-SMA-EDGE-S",1
36,"","","J1","USBC","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",1
37,"","","J2","POWER IN","PinHeader_1x02_P2.54mm_Vertical",1
38,"","","J3","~","PinHeader_1x05_P2.54mm_Vertical",1
